company_name,request_date,pickup_date,return_date,cancellation_date,is_cancelled,car_class,transmission,num_of_passengers,num_of_children,arrival_flight,total_price,day_of_week,is_holiday,is_bad_weather,events_count,events_avg_distance,events_avg_duration,encoded_car_company,month
jalan,2016-06-11,2016-07-08,2016-07-10,NA,0,SPクラス(SCSP001),AT,2,0,ana1181,7360,Fri,0,0,7,94260.52697807562,4.571428571428571,5209.090909090909,7
jalan,2016-06-11,2016-06-26,2016-06-27,NA,0,Sクラス禁煙（SCS0002）,AT,2,0,JAL513,4420,Sun,0,0,13,80428.31745507778,1,4291.428571428571,6
jalan,2016-06-12,2016-06-24,2016-06-26,NA,0,SPクラス(SCSP001),AT,2,0,SKY766,7360,Fri,0,0,9,66738.20758360004,1.3333333333333333,5209.090909090909,6
jalan,2016-06-12,2016-07-01,2016-07-03,2016-06-20,1,SPクラス(SCSP001),AT,2,0,JAL525,5200,Fri,0,0,19,70638.74729156967,41.63157894736842,5209.090909090909,7
jalan,2016-06-12,2016-06-24,2016-06-25,NA,0,SPクラス(SCSP001),AT,2,0,ANA069,4080,Fri,0,0,9,66738.20758360004,1.3333333333333333,5209.090909090909,6
jalan,2016-06-12,2016-07-12,2016-07-16,NA,0,Sクラス禁煙（SCS001）,AT,2,0,JW905,21700,Tue,0,0,0,0,0,5480,7
jalan,2016-06-13,2016-08-14,2016-08-17,2016-06-21,1,Sクラス(FS001),AT,2,0,NA,25220,Sun,0,0,12,77989.97501108095,1,8810.76923076923,8
jalan,2016-06-14,2016-07-09,2016-07-10,NA,0,SPクラス(SCSP001),AT,2,0,JAL505,7360,Sat,0,0,24,50682.75922688562,6.25,5209.090909090909,7
jalan,2016-06-15,2016-06-28,2016-07-01,NA,0,SPクラス(SCSP001),AT,2,0,ANA0777,10640,Tue,0,0,4,139325.8103858401,17,5209.090909090909,6
jalan,2016-06-15,2016-06-24,2016-06-26,NA,0,Kクラス(SCK001),AT,2,0,ＡＤ００２１,7560,Fri,0,0,9,66738.20758360004,1.3333333333333333,4169.508196721312,6
jalan,2016-06-15,2016-07-05,2016-07-10,NA,0,SPクラス(SCSP001),AT,2,0,JAL3105,17200,Tue,0,0,2,36348.591278139036,1,5209.090909090909,7
jalan,2016-06-16,2016-07-10,2016-07-14,NA,0,SPクラス(SCSP001),AT,2,0,NA,9600,Sun,0,0,10,37230.27803333574,11.4,5209.090909090909,7
jalan,2016-06-16,2016-07-04,2016-07-07,2016-06-17,1,SPクラス(SCSP001),AT,2,0,GK153,9600,Mon,0,0,2,39779.84616120193,6,5209.090909090909,7
jalan,2016-06-16,2016-07-03,2016-07-05,NA,0,SPクラス(SCSP001),AT,2,0,JW 907,7400,Sun,0,0,16,83696.22678283608,7,5209.090909090909,7
jalan,2016-06-16,2016-08-24,2016-08-26,NA,0,Sクラス禁煙（SCS001）,AT,2,0,SKY769,15280,Wed,0,0,5,53080.206319160956,1.4,5480,8
jalan,2016-06-17,2016-06-20,2016-06-24,NA,0,SPクラス(SCSP001),AT,2,0,ADO019,9600,Mon,0,0,1,134154.5080095413,1,5209.090909090909,6
jalan,2016-06-17,2016-07-07,2016-07-10,2016-06-18,1,SPクラス(SCSP001),AT,2,0,FDA211,10640,Thu,0,0,5,30939.73783101114,12.2,5209.090909090909,7
jalan,2016-06-17,2016-07-07,2016-07-09,NA,0,SPクラス(SCSP001),AT,2,0,JW905,13880,Thu,0,0,5,30939.73783101114,12.2,5209.090909090909,7
jalan,2016-06-18,2016-07-05,2016-07-07,NA,0,SPクラス(SCSP001),AT,2,0,SKY705,7400,Tue,0,0,2,36348.591278139036,1,5209.090909090909,7
jalan,2016-06-19,2016-07-10,2016-07-13,NA,0,SPクラス(SCSP001),AT,2,0,JW903,13920,Sun,0,0,10,37230.27803333574,11.4,5209.090909090909,7
jalan,2016-06-20,2016-07-01,2016-07-03,NA,0,SPクラス(SCSP001),AT,2,0,NA,10640,Fri,0,0,19,70638.74729156967,41.63157894736842,5209.090909090909,7
jalan,2016-06-21,2016-07-08,2016-07-10,NA,0,SPクラス(SCSP001),AT,2,0,SKY703,10640,Fri,0,0,7,94260.52697807562,4.571428571428571,5209.090909090909,7
jalan,2016-06-21,2016-08-14,2016-08-15,2016-06-21,1,Sクラス(FS001),AT,2,0,NA,12740,Sun,0,0,12,77989.97501108095,1,8810.76923076923,8
jalan,2016-06-21,2016-08-14,2016-08-15,2016-07-05,1,Sクラス(FS001),AT,2,0,NA,12740,Sun,0,0,12,77989.97501108095,1,8810.76923076923,8
jalan,2016-06-21,2016-06-30,2016-07-02,NA,0,SPクラス(SCSP001),AT,2,0,jal2503,8440,Thu,0,0,1,35191.32807722362,1,5209.090909090909,6
jalan,2016-06-22,2016-07-02,2016-07-06,NA,0,SPクラス(SCSP001),AT,2,0,JAL515,9600,Sat,0,0,23,57150.51550670976,6.173913043478261,5209.090909090909,7
jalan,2016-06-23,2016-06-30,2016-07-03,NA,0,SPクラス(SCSP001),AT,2,0,KE765,13880,Thu,0,0,1,35191.32807722362,1,5209.090909090909,6
jalan,2016-06-24,2016-07-04,2016-07-09,NA,0,SPクラス(SCSP001),AT,2,0,NA,23720,Mon,0,0,2,39779.84616120193,6,5209.090909090909,7
