company_name,pickup_date,target
jalan,2016-11-16,0
rakuten,2016-11-16,2
jalan,2016-11-17,0
rakuten,2016-11-17,4
jalan,2016-11-18,0
rakuten,2016-11-18,8
jalan,2016-11-19,0
rakuten,2016-11-19,3
jalan,2016-11-20,0
rakuten,2016-11-20,3
jalan,2016-11-21,0
rakuten,2016-11-21,2
jalan,2016-11-22,1
rakuten,2016-11-22,3
jalan,2016-11-23,0
rakuten,2016-11-23,2
jalan,2016-11-24,0
rakuten,2016-11-24,3
jalan,2016-11-25,1
rakuten,2016-11-25,2
jalan,2016-11-26,0
rakuten,2016-11-26,2
jalan,2016-11-27,0
rakuten,2016-11-27,1
jalan,2016-11-28,0
rakuten,2016-11-28,1
jalan,2016-11-29,0
rakuten,2016-11-29,3
jalan,2016-11-30,1
rakuten,2016-11-30,1
jalan,2016-12-01,0
rakuten,2016-12-01,1
jalan,2016-12-02,0
rakuten,2016-12-02,4
jalan,2016-12-03,2
rakuten,2016-12-03,2
jalan,2016-12-04,0
rakuten,2016-12-04,2
jalan,2016-12-05,0
rakuten,2016-12-05,3
jalan,2016-12-06,0
rakuten,2016-12-06,2
jalan,2016-12-07,0
rakuten,2016-12-07,2
jalan,2016-12-09,0
rakuten,2016-12-09,1
jalan,2016-12-11,0
rakuten,2016-12-11,1
jalan,2016-12-13,0
rakuten,2016-12-13,2
jalan,2016-12-14,1
rakuten,2016-12-14,0
jalan,2016-12-15,0
rakuten,2016-12-15,3
jalan,2016-12-16,2
rakuten,2016-12-16,2
jalan,2016-12-17,1
rakuten,2016-12-17,1
jalan,2016-12-18,0
rakuten,2016-12-18,4
jalan,2016-12-19,1
rakuten,2016-12-19,2
jalan,2016-12-20,1
rakuten,2016-12-20,1
jalan,2016-12-21,0
rakuten,2016-12-21,1
jalan,2016-12-22,0
rakuten,2016-12-22,1
jalan,2016-12-23,1
rakuten,2016-12-23,1
jalan,2016-12-24,1
rakuten,2016-12-24,0
jalan,2016-12-26,0
rakuten,2016-12-26,3
jalan,2016-12-29,0
rakuten,2016-12-29,1
jalan,2016-12-30,0
rakuten,2016-12-30,1
jalan,2017-01-01,0
rakuten,2017-01-01,1
jalan,2017-01-04,2
rakuten,2017-01-04,5
jalan,2017-01-05,1
rakuten,2017-01-05,3
jalan,2017-01-06,2
rakuten,2017-01-06,3
jalan,2017-01-07,1
rakuten,2017-01-07,4
jalan,2017-01-10,0
rakuten,2017-01-10,2
jalan,2017-01-11,0
rakuten,2017-01-11,2
jalan,2017-01-12,0
rakuten,2017-01-12,1
jalan,2017-01-13,1
rakuten,2017-01-13,1
jalan,2017-01-14,0
rakuten,2017-01-14,2
jalan,2017-01-15,0
rakuten,2017-01-15,1
jalan,2017-01-16,0
rakuten,2017-01-16,2
jalan,2017-01-17,0
rakuten,2017-01-17,2
jalan,2017-01-18,0
rakuten,2017-01-18,2
jalan,2017-01-19,0
rakuten,2017-01-19,3
jalan,2017-01-20,0
rakuten,2017-01-20,1
jalan,2017-01-21,1
rakuten,2017-01-21,1
jalan,2017-01-23,0
rakuten,2017-01-23,1
jalan,2017-01-24,1
rakuten,2017-01-24,1
jalan,2017-01-25,0
rakuten,2017-01-25,2
jalan,2017-01-26,1
rakuten,2017-01-26,4
jalan,2017-01-27,0
rakuten,2017-01-27,4
jalan,2017-01-28,3
rakuten,2017-01-28,2
jalan,2017-01-29,0
rakuten,2017-01-29,3
jalan,2017-01-31,0
rakuten,2017-01-31,1
jalan,2017-02-01,0
rakuten,2017-02-01,2
jalan,2017-02-02,0
rakuten,2017-02-02,1
jalan,2017-02-03,0
rakuten,2017-02-03,2
jalan,2017-02-04,2
rakuten,2017-02-04,3
jalan,2017-02-06,1
rakuten,2017-02-06,1
jalan,2017-02-07,1
rakuten,2017-02-07,1
jalan,2017-02-08,0
rakuten,2017-02-08,2
jalan,2017-02-09,3
rakuten,2017-02-09,1
jalan,2017-02-10,0
rakuten,2017-02-10,2
jalan,2017-02-11,1
rakuten,2017-02-11,4
jalan,2017-02-12,0
rakuten,2017-02-12,1
jalan,2017-02-13,2
rakuten,2017-02-13,0
jalan,2017-02-14,1
rakuten,2017-02-14,2
jalan,2017-02-15,1
rakuten,2017-02-15,1
jalan,2017-02-16,0
rakuten,2017-02-16,1
jalan,2017-02-17,2
rakuten,2017-02-17,6
jalan,2017-02-18,2
rakuten,2017-02-18,1
jalan,2017-02-19,1
rakuten,2017-02-19,0
jalan,2017-02-20,0
rakuten,2017-02-20,1
jalan,2017-02-21,1
rakuten,2017-02-21,4
jalan,2017-02-22,2
rakuten,2017-02-22,2
jalan,2017-02-23,0
rakuten,2017-02-23,2
jalan,2017-02-24,0
rakuten,2017-02-24,4
jalan,2017-02-25,3
rakuten,2017-02-25,3
jalan,2017-02-26,1
rakuten,2017-02-26,0
jalan,2017-02-27,0
rakuten,2017-02-27,1
jalan,2017-02-28,1
rakuten,2017-02-28,3
jalan,2017-03-01,0
rakuten,2017-03-01,4
jalan,2017-03-02,0
rakuten,2017-03-02,2
jalan,2017-03-03,0
rakuten,2017-03-03,1
jalan,2017-03-04,4
rakuten,2017-03-04,3
jalan,2017-03-05,0
rakuten,2017-03-05,2
jalan,2017-03-06,0
rakuten,2017-03-06,3
jalan,2017-03-07,0
rakuten,2017-03-07,2
jalan,2017-03-08,2
rakuten,2017-03-08,0
jalan,2017-03-09,0
rakuten,2017-03-09,4
jalan,2017-03-10,3
rakuten,2017-03-10,1
jalan,2017-03-12,1
rakuten,2017-03-12,2
jalan,2017-03-13,1
rakuten,2017-03-13,0
jalan,2017-03-15,0
rakuten,2017-03-15,2
jalan,2017-03-17,2
rakuten,2017-03-17,1
jalan,2017-03-18,0
rakuten,2017-03-18,1
jalan,2017-03-19,0
rakuten,2017-03-19,1
jalan,2017-03-23,1
rakuten,2017-03-23,1
jalan,2017-03-24,2
rakuten,2017-03-24,0
jalan,2017-03-25,0
rakuten,2017-03-25,2
jalan,2017-03-26,0
rakuten,2017-03-26,4
jalan,2017-03-27,0
rakuten,2017-03-27,2
jalan,2017-03-29,0
rakuten,2017-03-29,2
jalan,2017-04-01,1
rakuten,2017-04-01,1
jalan,2017-04-02,0
rakuten,2017-04-02,3
jalan,2017-04-03,0
rakuten,2017-04-03,2
jalan,2017-04-04,0
rakuten,2017-04-04,1
jalan,2017-04-05,0
rakuten,2017-04-05,2
jalan,2017-04-06,0
rakuten,2017-04-06,1
jalan,2017-04-07,2
rakuten,2017-04-07,3
jalan,2017-04-08,1
rakuten,2017-04-08,0
jalan,2017-04-11,0
rakuten,2017-04-11,3
jalan,2017-04-14,1
rakuten,2017-04-14,2
jalan,2017-04-15,0
rakuten,2017-04-15,2
jalan,2017-04-16,1
rakuten,2017-04-16,1
jalan,2017-04-17,0
rakuten,2017-04-17,1
jalan,2017-04-19,0
rakuten,2017-04-19,1
jalan,2017-04-20,1
rakuten,2017-04-20,1
jalan,2017-04-21,0
rakuten,2017-04-21,2
jalan,2017-04-22,2
rakuten,2017-04-22,3
jalan,2017-04-23,0
rakuten,2017-04-23,2
jalan,2017-04-24,0
rakuten,2017-04-24,3
jalan,2017-04-25,0
rakuten,2017-04-25,1
jalan,2017-04-26,0
rakuten,2017-04-26,1
jalan,2017-04-27,0
rakuten,2017-04-27,3
jalan,2017-04-28,0
rakuten,2017-04-28,6
jalan,2017-04-29,0
rakuten,2017-04-29,2
jalan,2017-04-30,1
rakuten,2017-04-30,9
jalan,2017-05-01,0
rakuten,2017-05-01,3
jalan,2017-05-02,2
rakuten,2017-05-02,5
jalan,2017-05-03,0
rakuten,2017-05-03,5
jalan,2017-05-04,2
rakuten,2017-05-04,9
jalan,2017-05-05,0
rakuten,2017-05-05,2
jalan,2017-05-07,1
rakuten,2017-05-07,2
jalan,2017-05-08,1
rakuten,2017-05-08,1
jalan,2017-05-09,2
rakuten,2017-05-09,0
jalan,2017-05-11,0
rakuten,2017-05-11,1
jalan,2017-05-12,1
rakuten,2017-05-12,3
jalan,2017-05-13,4
rakuten,2017-05-13,4
jalan,2017-05-14,1
rakuten,2017-05-14,2
jalan,2017-05-15,1
rakuten,2017-05-15,1
jalan,2017-05-16,2
rakuten,2017-05-16,3
jalan,2017-05-17,0
